,PassengerId,Survived
176,1068,1
177,1069,1
178,1070,1
179,1071,1
180,1072,1
181,1073,1
182,1074,1
183,1075,0
184,1076,1
185,1077,1
186,1078,0
187,1079,1
188,1080,0
189,1081,1
190,1082,1
191,1083,1
192,1084,0
193,1085,1
194,1086,1
195,1087,1
196,1088,1
197,1089,1
198,1090,1
199,1091,0
200,1092,0
201,1093,0
202,1094,1
203,1095,1
204,1096,1
205,1097,1
206,1098,1
207,1099,1
208,1100,1
209,1101,1
210,1102,1
211,1103,1
212,1104,1
213,1105,1
214,1106,0
215,1107,1
216,1108,0
217,1109,1
218,1110,1
219,1111,1
220,1112,1
221,1113,1
222,1114,0
223,1115,1
224,1116,1
225,1117,0
226,1118,1
227,1119,0
228,1120,1
229,1121,1
230,1122,1
231,1123,1
232,1124,0
233,1125,0
234,1126,1
235,1127,1
236,1128,1
237,1129,1
238,1130,1
239,1131,1
240,1132,1
241,1133,1
242,1134,1
243,1135,1
244,1136,0
245,1137,1
246,1138,0
247,1139,1
248,1140,0
249,1141,0
250,1142,0
251,1143,1
252,1144,1
253,1145,1
254,1146,1
255,1147,1
256,1148,0
257,1149,1
258,1150,1
259,1151,1
260,1152,1
261,1153,1
262,1154,0
263,1155,0
264,1156,1
265,1157,1
266,1158,1
267,1159,1
268,1160,0
269,1161,1
270,1162,1
271,1163,0
272,1164,1
273,1165,0
274,1166,1
275,1167,0
276,1168,1
277,1169,1
278,1170,1
279,1171,1
280,1172,0
281,1173,0
282,1174,0
283,1175,0
284,1176,0
285,1177,1
286,1178,1
287,1179,1
288,1180,1
289,1181,1
290,1182,1
291,1183,1
292,1184,1
293,1185,1
294,1186,1
295,1187,1
296,1188,1
297,1189,1
298,1190,1
299,1191,1
300,1192,1
301,1193,1
302,1194,1
303,1195,1
304,1196,0
305,1197,1
306,1198,1
307,1199,0
308,1200,1
309,1201,1
310,1202,1
311,1203,1
312,1204,1
313,1205,1
314,1206,1
315,1207,0
316,1208,1
317,1209,1
318,1210,1
319,1211,1
320,1212,1
321,1213,1
322,1214,1
323,1215,1
324,1216,1
325,1217,1
326,1218,1
327,1219,1
328,1220,1
329,1221,1
330,1222,1
331,1223,1
332,1224,1
333,1225,0
334,1226,1
335,1227,1
336,1228,1
337,1229,1
338,1230,1
339,1231,0
340,1232,1
341,1233,1
342,1234,0
343,1235,1
344,1236,0
345,1237,1
346,1238,1
347,1239,1
348,1240,1
349,1241,1
350,1242,1
351,1243,1
352,1244,1
353,1245,1
354,1246,0
355,1247,1
356,1248,1
357,1249,1
358,1250,0
359,1251,1
360,1252,0
361,1253,0
362,1254,1
363,1255,1
364,1256,1
365,1257,0
366,1258,1
367,1259,0
368,1260,1
369,1261,1
370,1262,1
371,1263,1
372,1264,1
373,1265,1
374,1266,1
375,1267,1
376,1268,0
377,1269,1
378,1270,1
379,1271,0
380,1272,0
381,1273,0
382,1274,0
383,1275,1
384,1276,1
385,1277,0
386,1278,1
387,1279,1
388,1280,0
389,1281,0
390,1282,1
391,1283,1
392,1284,0
393,1285,1
394,1286,0
395,1287,1
396,1288,0
397,1289,1
398,1290,1
399,1291,1
400,1292,1
401,1293,1
402,1294,1
403,1295,1
404,1296,1
405,1297,1
406,1298,1
407,1299,1
408,1300,0
409,1301,0
410,1302,0
411,1303,1
412,1304,0
413,1305,1
414,1306,1
415,1307,1
416,1308,1
417,1309,0
