text,salim
ภูมิใจที่ได้เลือกพรรคนี้นะคะ ไม่เคยเสียใจเลย มาถึงจุดนี้ได้ ทุกคนเก่งมากๆ เลยค่ะ จะยังคอยเป็นกำลังใจและสนับสนุนอย่างนี้ต่อไปนะคะ ยังเชื่อว่าสักวันมันจะวันเป็นที่สดใส ตราบใดที่เรายังยึดในความถูกต้อง สำหรับศาลไทยอาจจะช้าหน่อย ไม่ว่าจะต้องรออีกกี่ร้อยกี่ปีก็จะยังตั้งตารอค่ะ ❤️✌️,0
พวกมังกรฟ้าต้องกำจัดให้สิ้นซาก,0
อยากให้ปรับปรุงการนำเสนอผลงานใหม่ค่ะ เอาแบบสั้นๆ ดูง่ายๆ ดึงดูดให้สนใจอ่าน ที่นำเสนอมานี้ดูแล้วน่าเบื่อไม่น่าสนใจไม่กระตุ้นความรู้สึกอยากอ่านเลยค่ะ,1
ณัฐ กุลณัฐ ควายครองเมือง,0
ทรงพระเจริญ,1
ยุทธพิชัย ศรีวรสาร เก็บใส่กรอบดีกว่า งื้ออ,0
บาว ชาวเล มันคิดล้มทหารเพื่อแย่งชิงและเปลี่ยนแปลงการปกครอง งัย,1
ถ้าพวกมึงแน่จริงลงถนนมาเลยอ้อเผาด้วยล่ะจะได้ไม่ยืดเยื้อมัวแต่เห่าเบื่อ,1
เหมือนมากครับ ฝีมือดีจริงๆ,1
และนโยบายที่ยังทำไม่ได้ละครับ???,1
Apichart Tumawong,1
Barto Lomeo ที่บราซิล,1
คณะราษฎร์ - คณะอนาคตใหม่ รับงานนอกสภาฟรี🤣🤣🤣,1
Payap Pueksawan คนที่ไม่ใช่กรรมการบริหารพรรคตั้งได้ครับ,0
Noppadon Poolrit ก่อนๆด่า แต่งตั้งลูกชาย ข้ามอาวุโส ก็แค่นั้น ขอให้ได้ด่า ขาประจำ ?,1
เป็นไท ขอแค่อิสระ อยู่พัดบาแถวไหนล่ะ...,1
ไวพจน์ ไม่มาช้วยหาเสียหน่อยหรือ,1
"ใช่เลย...จะติดคุกเพราะ ""วาทะ-โวหาร""",1
Kantapon Umranan ได้นะ​คิดแบบเหี้ยๆนะไปจับครอบครัว​พวกมันมาเดิน​หน้าแถวคน​ประท้วง​ดูดิกล้ายิงป่าว555,0
ไอ้คนแบบนี้ต้องตายสถานเดียว,1
อำนาจล้นมือ ชุมนุมไม่ขออนุญาต แต่หน้าด้านเรียกตำรวจมาชี้แจง เพิ่งเคยเห็น อย่างฮา😄😃,1
อวตารขยะมันก็มีเเต่ความคิดขยะๆ​ แบบนี้ละ...อีแอบเอ้ยยย,0
5555555555,1
สู้ๆสามัคคีกัน.,0
เดี๋ยวไลน์บอกไอ้ซำให้ว่าอย่าเสือก,1
Mim Pitichon Nakpedpoon ต้องปล่อยให้พวกคุณเล่นได้อยู่ฝ่ายเดียวรึไงพอโดนเล่นกลับบ้างมาอ้างโน่นอ้างนี่ปชต.สัสๆ,1
Thanom Sukree มาผิดที่ครับ ดงคนดี(อุปทาน),1
ดีใจจัง..ไม่ต้องทำอะไร..เดี๋ยวมันก็หาเรื่องเข้าคุกเอง!!,1
เราเชื่อว่าชาวอนาคตใหม่ไม่ยอมแพ้ สู้ไปด้วยกัน✌✌,0
ทรงพระเจริญ,1
"ต้องใช้พลังประชาชนขับไล่พวกไกงทรราชให้สิ้นซากคะ
#สู้เพื่ออนาคตใหม่ของชาติ",0
"เอาตรงๆตั้งแต่เปลี่ยนที่นั่ง ไม่คิดจะเอารูปมาแปะไว้ฝาบ้านเลย งานกาชาดแจกเป็นแผ่นรูปคู่ งานกีฬาสีแจก ยังเขวี้ยงลงถังขยะเลย ไม่พูดเยอะ
#ขี้เดียด",0
5555,1
ไม่ได้พักคนชั่วเหมือนพรรคอนาคตใหม่,1
Phanlop Raktham,1
Armin Mintra ปะไปชุมนุม,0
ใช่ๆๆฟๆๆ,1
เย้ๆๆๆๆๆๆๆๆๆ,1
+1,0
ราณี สโนว์ดอน ตู่แค่หมารับใช้อีกทีตัวที่อยู่บนหลังควายคือไอ 10 นี่แหละกลัวล้มเจ้าหาเหวไรนักหนา,0
"Phairoj Naruebethsakoonchai หนักหัวอะไรคุณหรือ
มีลูกมีหลานหรือยัง ระวังจะไม่มีเพราะตายก่อน
หน้าอย่างคุณกำหนดอะไรได้หรือ มีงานทำไหม เกาะพ่อแม่อยู่ไหม",1
🙏🏻,1
จะสมัครมาเป็นสมาชิกพรรคใหม่ด้วยครับในวันนั้น,0
ส่งใจไปค่ะ สู้ๆ🧡✌️,0
กรรมตามสนอง,1
Somrak Buajan ลูกมึงจะตายห่าเพราะฝุ่นก่อนนะควาย,1
ระบอบประชาธิปไตย​อันมีกษัตริย์​เป็นประมุข​ ศาลรัฐธรรมนูญ​ตัดสินแบบนี้เพราะ​ (วนกลับไปอ่าน)​,0
ปท.นี้มันชอบก้าวก่ายเหรือเรียกว่า​เสือกนั่นแหละ​,1
Totsapon Kammala อย่าลงถนนมันอยู่,0
ก้อลองนัดลงถนนสิ นาทีนี้ ไครลง#มันเป็นเรื่องของ สถานะการโลก ไครก้อทำอะไรไม่ได้หรอก #สมองรองคิดดูนะ,0
คนพวกนี้พูดแถไปเลื่อย..สมกับเปนพรรคจังรัยใหม่แท้จริง,1
"ทรงพระเจริญ

สัตว์ทั้งหลายคงจะมีความสุขยิ่งอยู่ห่างไกล ควันพิษใน...もっと見る",1
🙏,1
มหาบุรุษผู้ซื่อสัตย์จงรักและภักดิ์ดีต่อชาติพวกเราชนรุ่นหลังควรเอาแบบอย่างท่านมีลูกสอนลูกมีหลานสอนหลานมหาบุรุษผู้เปลี่ยมล้นไปด้วยความดี,1
"You Tried to Bury Us, You Didn’t Know We Were Seeds",1
มีแต่คนบอกว่าอีก10ปีค่อยกลับมาใหม่ แต่พวกคุณไม่คิดถึงว่าวันข้างหน้าว่าบ้านเมืองจะเป็นเช่นไรรึคะตอนนี้ก้อแย่อยู่แล้ว.ตอนนี้ไอ้ตูบมันครองเมืองอยู่ ยุคทหารครองเมือง..รักอนาคตใหม่นะคะ.,0
หมู่เคลิ้ม โครตฟินอ่ะ ถุย,1
อาจารย์คนนี้เป็นญาติทางไหนกับ “ประเสริฐ ทรัพย์สุนทร” ใครไม่รู้จักว่าประเสริฐ คือใคร ลองค้นจากกูเกิ้ลดูครับ,1
ท่านพูดถูก,1
เห็นด้วยค่ะ,1
สู้ๆนะคะธรรมะย่อมชนะอธรรมเวรกรรมมีจิงคะ,0
ขอให้สิ่งศักดิ์สิทธิ์คุ้มครองคนดีของประเทศที่ยังมีอยู่ให้ทุกท่านปลอดภัยทำงานเพื่อประเทศชาติบ้านเมืองให้อยู่รอดปลอดภัย,1
ทรงพระเจริญๆ,1
ในความคิดเห็นส่วนตัวของผมนะ ไม่ว่าจะหมดยุคไอ้ลุงตูบไปแล้ว มันก็จะมีหมากตัวใหม่มาแทน ต่อให้เลือกตั้งได้เพื่อไทยเหตุการณเก่าๆก็จะกลับมา เพราะตัวบอสไม่ใช่พวกคสช. พวกทหาร เราต่างรู้ว่าใครได้ผลประโยชน์กับการที่บ้านเมืองเป็นแบบนี้,0
พรรคเหี้ย,1
ร่างกายอยากปะทะแก๊สน้ำตา หน้ากาก PM2.5 กันแก๊สได้บ่,0
10 ปี ผมกลัวพวกนี้จะฝังรากลึกกว่าเดิมจนยากจะถอน ย้อนยุคไปเหมือนพม่า เขมร สมัยก่อนน่ะสิครับ,0
Pete Pongphan นี่หรือปชต.ที่ได้เลือกตั้งเคยพูดไปหลายร้อนควายแดงตกสีเป็นความส้ม ต้องปชต.เผด็จการออกกฎหมายลคกหลับช่วยไอ้สัมพเวสีทักสินตอนตีสี่แบบอียิ่งเยดไง,0
ไปเลยครับผมจะนั่งดู,0
ปรับจับให้หมด,1
ก็เห็นชุมนุมกันอยู่ตั้งแต่สมัยกลุ่มคนอยากเลือกตั้งยันแฟลชม๊อบละ ถ้าคุณอยากจะออกไปชุมนุมใครก็ห้ามคุณไม่ได้หรอก รัฐบาลยิ่งลักษณ์นี่โกงแรงกว่ามากแค่จำนำข้าวอย่างเดียวนี่ทำคนไทยใช้หนี้ 16 ปี .... ยังไม่มากอีกหรือ ? พรบ เหมาแข่งลีกหลับตอนตี 4 นี่คือข้ออ้างหรือ รัฐบาลมันหน้าด้านแรงจริง เหตุผลในการรัฐประหารครั้งล่าสุดสมเหตุสมผลจริง ปปช. บอยคอตเลือกตั้ง ม๊อบไม่ถอย รัฐบาลออกพรบ.เลวๆ ประเทศตันมั๊ยตอนนั้น ??,0
สราวุธ แสงศาสตรา จากการที่เคยทำงานด้านสื่อ สัมภาษณ์ผู้มีสิทธิ์เกิน 90 % บอกว่าถ้าไปเลือกแล้วไม่ได้ค่าจ้างก็ทำมาหากินดีกว่า คือ ไม่ไปเลือกถ้าไม่ได้ค่าจ้าง เขาบอกว่าใครเป็นรัฐบาลเขาก็ยังต้องทำมาหากินเหมือนเดิม แต่เราไม่สามารถนำเสนออย่างเปิดเผยได้เพราะมีรายละเอียดอีกมาก เราเป็นสื่อไม่มีปลอกคอ สุดท้ายก็ต้องยุติเพราะเราไม่มีเงินมากมายที่จะทำงานแล้วต้องเสียเงินทุกด้าน มีแรงมีสมรรถนะแต่ประชาชนไทยไม่เห็นความสำคัญของสื่อ,1
Ksn Phi Hiy โทษครับเรื่องไร_เกี่ยวกันไหม,1
อ๊อด ภูดิศ ไม่ใช่เหี้ยธรรมดา...โคตรเหี้ยคูณ2ค่ะ...,0
สู้ต่อนะคะจะเป็นกำลังใจให้ตลอดไปนะคะ พวกคุณคือความหวังของคนรุ่นใหม่,0
ทำอย่างอื่นก็ได้ไม่ถึงต้องเรียกมาให้การ ใช้ตัวแทนก็ได้ อย่างนี้เขาเรียกไม่ให้เกียรติไม่มีวัฒนธรรม! เห็นการนั่งหัวโต๊ะแล้วจะอวกๆๆๆแตก! ถุย,1
คนที่พ่อแม่ดี มีแต่เทิดทูนพระยาพิชัย,1
ทำดีแล้วก็ทำต่อไปแต่ประชาชนเค้าดูการจับจ่ายใช้สอยนะคะขายสินค้าดีไหม ราคาน้ำมันปรับลงมาเลย5-10บาท ราคาแก๊สหุงต้ม ราคาพืชผลทางการเกษตร การหาตลาดต่างประเทศถ้าภาคการเกษตรดีประเทศก็จะดีขึ้นเน้นๆๆให้มากๆค่ะ✌🏻✌🏻,1
ธีระยุทธิ์ หงษ์ทอง แหม ก้ถ้าดูที่เจตนา โต้ะจีนโตะละสิบล้านทำไมไม่โดนละครับ,0
ขอบคุณมากๆค่ะทหารไทยทุกๆท่านคะ,1
เรียนรู้มากๆซ้ำไปซ้ำมาจะยิ่งเกิดทักษะ ชำนาญ บอกเลยเรสยึดแนวคิดนี้ เรียนปี.1 ซ้ำชั้น2ปี ความรู้แน่นตึ๊บ อิอิอิ,1
แย่มากๆครับ,1
ซื้อขายซาก ไอโฟน ไอแพด ทุกรุ่นทุกอาการ +,0
ใช่ค่ะ,1
พระสยามเทวาทิราชเจ้า คุ้มครอง นายก ประยุทธ์ จันทร์โอชา ด้วยเทอญ สาธุ,1
ไก่น้อย กุ๊กๆ จับใครนะ,0
นี่ไงผลงานลุงตู่ควายไม่เห็นเพราะไม่กล้ามองดีใจจริงๆต้องผ่านไปเสียหน่อยแล้ว,1
Nitchanun Sonsamdaeng 👍,0
ภูมิภิภัทร อัครพงศ์เดชา 6 ตุลา,0
ขอบคุณเจ้าหน้าที่ทุกคนที่ทำงานหนัก,1
เอาเข้าตลาดเถอะ คนอยากถือเยอะ,1
ในภาพที่โพสต์..ไมค์คลอโฟน ..น่าจะเปลี่ยนเป็นกระบอกปืนได้นะ.,1
Mumadnuwaba Saleh ผมเชื่อว่าคนด่า เกินกว่าครึ่งของประเทศ และเกินกว่า 80 เปอร์เชนต์ชัวร์,0
ดีแล้วครับ สงสารคนหาเช้ากินค่ำบ้าง,1
Spoil Pc ลุงอายแน่นอนนน,0
เกินคาดที่ไหน....กาหัวมาแล้วยังงัยก็ต้องยุบ สองมาตราฐานแม่งว่าแย่ล่ะ ยุคตู่ต้องเรียกว่าไม่มีมาตราฐานเลย มีแต่ตามใจกู เจริญหวบๆล่ะชาติไทย,0
ใจบางบาง ใยไหม หญิงในเชิงบวก ไม่อายหรอครับ เป็นผมลบคอมเม้นไปนานละ อายคนเขา ไปเรียกคนอื่นควายทั้งที่ตัวเองโชว์ความ(ไม่รู้)ประเจิดประเจ้อ,1
เชียร์ลุง,1
เชียร์ลุงตู่สุดๆๆๆๆๆ_ชลบุรี,1
ดีเเต่ปากการกระทำไม่ได้เรื่อง ที่พูดมาก่อนเป็นนายกทำไรได้สำเร็จบ้างพรรคนี้ หลอกลวง,1
ระวังนะคะ เดี๋ยว เขาจะเล่น มุมมืด ตอนี้เงียบกริบ,1
Rattanon Ping Chuaphet กระสุนพระราชทาน,0
"แสงแห่งความสวยงามของรุ่งอรุณ \7 จุดติดแล้ว เรามีอุดมการณ์เดียวกัน ยุบพรรคได้ยุบไป เพราะจิตวิญญาณของอนาคตใหม่ไม่ใช่พรรค แต่คืออุดมการณ์ที่ถูกปลุกขึ้นในหัวใจทุกคน ❤️

เราไม่ได้เลือกนาย แต่นายได้ใจเราว่ะ อนาคตใหม่",0
สู้ต่อไปน่ะครับ,0
ภาคิน จันทร์ทอน ใช่ครับ,0
เป็นไท ขอแค่อิสระ คุณฉลาเมากหรือถ้าเขาโง่คงไม่ได้เป็นนายพล,1
10ปี,1
เอาให้ครบทุกข้อของกฎหมายเลยครับ,1
รัฐบาลหัวควยบริหารไม่เป็น..เป็นอย่างเดียวคือพูดโกหกหลอกลวงสัสสสสสเอ้ย..ควยๆๆๆๆ,0
ทอมมี่ ผู้ชายหัวใจพันธ์สิงห์ เราก็เป็นคะเสียงใจที่ไม่ได้เลือก,0
Nattapol Kongsuwan สู้กีร้อยครั้งก็ม่ชนะเพราะมีกฏหมายโจรกำกับยุ่ ต้องสู้ใต้ดินมีโอกาสมากกว่าเพราะประชาชนพร้อมชน,0
โจ๊กๆๆๆๆเละเป็นโจ๊ก5555,1
เค้าจะแยกย้ายกันแล้วหรอคะ,0
Payap Pueksawan ยุบอีกก็ตั้งใหม่อีกครับ,0
ด่ามาแล้ว,0
Ratanachai Khottum โชว์รุมรถ ยี่ห้ออะไรอะคับ 🤣,0
การเลือกอนาคตใหม่คือ 1 เสียงที่คุ้มค่าที่สุดตั้งแต่เคยกาบัตรเลือกตั้งมา ขอบคุณมากๆนะคะ และเป็นกำลังใจให้ค่ะ เราจะอยู่กับคุณ ตราบเท่าที่คุณอยู่กับประชาชน,0
เชียร์ลุง แอดจะบอกว่า ประเทศดีขึ้น เมื่อ.......ไป ใช้ป่ะ,1
ขยะ,1
"สาธุ
ขอให้ทำดีแล้วได้ดีจริงๆ",1
เป็นกำลังใจให้ชาวโคราชนะคะ ผ่านเหตุการณ์ร้ายๆครั้งนี้ไปให้ได้เร็วๆ ขอบคุณเจ้าหน้าที่ทุกท่านที่ให้การช่วยเหลือตลอด,1
อื้อหื้อภาพสวยมากเหมือนมากๆ,1
ต่อไป ไปกู้ธนาคาร ชัก10ล้าน เขาทวงก็บอกเป็นเงินบริจาคละกัน,0
ฝากให้สส.ที่เลือกเผด็จการ,0
"ภานุพันธ์ จันทร์เสงี่ยม
ไม่มีคะ 55",1
มันจะวนลูปนะครับ อย่าลงถนนกัน อยู่นิ่งๆดีสุดครับ เดี๋ยวมันก็แก่ตายกันหมดแล้ว,0
มีพรรคเดียวจบไปเนอะ ถ้าตัดสินกันแบบนี้ หึๆ,0
อยู่กินเงินภาษีประชาชนมาชั่วชีวิต เสือกมาทำฉลาด,0
ถูกใจจริง,0
ผมคนเพชรบุรีแต่ขอส่งเเรงใจให้ครับ,1
ใช่ครับ ยุบพรรคเท่านั้น,1
ขอให้ปลอดภัยนะครับ,1
มันไม่ใช่คำสั่งศาล แต่มันคือใบสั่งของคนที่อยู่เหนือกฏหมาย คนไทยรับไม่ได้ บ้านนี้เมืองนี้วิปริตไปกันใหญ่แล้วคนดีอยู่ยากจริงๆ ขอเป็นกำลังใจและจะอยู่เคียงข้างอนาคตใหม่ตลอดไป คนไทยไม่ทิ้งคุณ สัญญาด้วยใจ,0
ขอส่งกำลังใจให้ทุกท่านครับ,1
ส. สกุล นะ 10 ปีไม่นานค่ะ …เราจะกลับมาแข็งแกร่งและเข้มแข็งยิ่งขึ้น 🧡🧡🧡,0
"ปชช. ไม่อดตายหรอก
ถ้าขยัน รู้จักปรับตัวตาม
โลก
ไม่งอมืองอเท้ารอเเต่
ของฟรี",1
เพี้ยงๆๆๆๆๆ,1
ขอนับถือเลยครับ...เป็นตัวอย่างที่ดี,1
ขอ​พระองค์​ทรง​พระ​เจริญ​ยิ่ง​ยืนนาน​,1
สวยครับ,1
"รัฐชุดนี้เขาชอบทำอะไรที่คานกับประชาชนเพราะประ
ชาชนเกลียดพวกเขา",0
เป็นกำลังใจให้ลุงตู่สู้ๆๆค่ะ❤❤❤✌✌✌,1
ทำไม มีแต่คน ฝากกำลังใจเยอะจัง บังไม่เลิกงานหรา,0
ใครว่าโดนน๊อก เขาแค่แย้บต่างหาก ยกแรกเองจจะรีบน๊อกลุงทำไมยังมีอีกกลายหมัดไม่เชื่อคิยดู555,0
เป็นกำลังใจให้ท่านน่ะค่ะ อย่างไงเราก็รักทหารค่ะยกเว้งคนที่ไม่มีจิตสำนึกของคำว่าทหารเท่านั้นค่ะ สู้ๆน่ะค่ะท่าน✌✌✌✌✌✌✌✌💖💖💖💖💖💖💖💖,1
อยากได้สินค้าอนาคตใหม่ ยังมีขายอยู่ไหมครับ,0
"16,17 ก็พักร้อนสิครับ จะเก็บไว้ทำ🤣🤣🤣🤣🤣",1
Setthawut Pitaksapaisal เดี่ยวก่อนน พ่อรู้ตีตายเลย 🤣,0
ผมว่านายก ไม่สามารถพิมพ์หรือคิดได้ขนาดนี้หรอก ครับ ก็พี่แก่มีสมองแค่ 8หมื่นกว่าเชลล์ เท่านั้น แค่พูดผมยังฟังไม่รู้เรื่องเลย,0
Satwisut Sriman ถ้าคุณเป็นนายก คุณจะทำและพูดแบบเดียวกันมั้ย ถามจริง,1
กลัวอ่านคอมเมนแล้วรับไม่ได้หรา 🐃🐃🐃,1
รวมพลังกันให้มากๆจะได้เห็นว่าคนรุ่นใหม่รักประชาธิปไตย​รักอนาคตใหม่รักธนาธรค่ะ,0
เราคิดอย่างควรจะเริ่มจากบอยคอตนายทุนที่สนับสนุนพรรค นายทุนผูกขาดเลี่ยงได้ก็ต้องเลี่ยงไม่ใช้บริการไม่ซื้อของ มาตรการเบื่องต้น,0
ให้ สส. บางกลุ่มบางคนไปนั่งเรียนก่อนก็ดีครับ.,1
ทรงพระเจริญยิ่งยืนนาน,1
คิดถึงพ่อหลวง,1
หายป่วยสูงสุดในโลกยังไงวะงง สิงคโปร์หาย19 ไทยหาย 15 บอกไทยหายป่วยสูงสุดในโลกเฉย ถ้าอ้างว่าคิดเป็นเปอร์เซ็นอังกฤษ เป็น 9 หาย 8 ไทยก็ยังไม่ใช่ที่ 1 งงหวะ แค่ทำรูปภาพง่ายๆยังผิดเลยไม่แปลกใจทำไมเป็นหัวหน้าพรรคแค่พูดอังกฤษยังทำไม่ได้ เด็กป.5แถวบ้านผมยังพูดอังกฤษได้เลยแสดงว่าเด็กป.5มีความสามารถมากกว่าเหมาะสมเป็นนายกมากกว่านะครับ,1
พักอนาคตใหม่ เหลือแต่ อนาคตใหม่ค่ะ ✌🏼❤️,0
🧡,0
อีกพรรคหนึ่งทำผิดชิบหายวายป่วงไม่เห็นศาลทำ4ทำ8อะไรเลย เหอะๆๆๆๆ,0
จบ...สวัสดี,1
"จะเดินหรือจะวิ่งทั่วประเทศ กี่จังหวัดไม่มีใครไปขวางพวกมึง
แต่ถ้าไม่ปฏิบัติตามกฏระเบียบบ้านเมือง รับรองมีคนไม่เห็นด้วยกับพวกมึง ไม่น้อยแน่ๆ",1
ว๊าย พวกคอมมี่อกหัก เลยต้องล้างสมองลูกหลานต่อแทน,1
อุมัร ศรีวรเชษฐ์ ...จัดการกับคนร้าย ต้องร้ายกว่าค่ะถึงจะเอาอยู่ อิอิ,0
ไม่มีค่า,1
แค่คิดต่างกับคุณก็ไม่ได้หมายความว่าชังชาตินะคะ,0
Ploy Chayaporn Thaluechai,1
หนักแน่น แน่วแน่มากค่ะคุณหมอ 🙏🙏,1
Sukrit'u Copongs ข่าวจริงรึป่าวก็ไม่รู้ แต่ถ้ากำแพงเพชรได้ ส.ส. รัฐบาลอีกก้คงไม่แน่,1
ไชยยันต์ อนันตรัย แล้วรู้ได้ไงว่าเค้าไม่ได้เขียนหรอ ?,0
Adilek Treewichai หี,0
ขอให้เชปโรเร็ตโชคดี 5555,1
"ยืนยง เหลืองศศิพงษ์ มเพราะอนคม. ใช้กูยืมหนี้สินนะครับ ฉะนั้น
มต66 ก็ไม่ควรใช้ได้ https://www.isranews.org/isran.../80918-isranesws-80922.html",1
.,0
ยิ่งฟังธนาธรพูด ก็ยิ่งเสียดาย,0
ไม่เสียใจที่เลือกพรรคนี้ค่ะ💛,0
+1,0
"Wichai Kanchanatawan ไม่ใช่เหตุนี้แน่ค่ะ
(ในฐานะเป็นคนเมืองกาญจน์เหมือนกัน)",1
ขอก๊อปนะคะ,0
คนดีทำดีมีสวรรค์เป็นที่ไป,1
เอ้า ปิดเพสไปแระ ทำไมทักสินไม่ช่วยนะ แก่ก็แก่,1
Nuy Nuy นั้นสิคะป้า 😭😭,0
สู้ๆๆๆๆ....ขอเป็นกำลังใจให้ค่ะ....,1
ไม่คิดเลยว่าเรื่องเล่าของไอ้ตี๋หัวลำโพงจะถูกนำไปออกรายการ รู้สึกปลื้มอย่างบอกไม่ถูก,1
R.I.P,1
Those greedy skunks are having the same smelly scent against their conscience weight by greed,0
Sirapat Kongsong ครับขอแค่ทำตามนโยบายที่วางใว้ก็พอ,1
โผล่ออกมาจากกระดองก็ฮาเลยน่ะหม่อมเต่า!!,0
Pupersie Ferguson,1
ไอ้สัตว์มึงเกิดมาเป็นคนใด้ไงวะ ไม่รู้ที่สูงแผ่นดินต่ำ,1
+1000000,0
ไม่ใช่เลือกตั้งสิ แต่งตั้งต่างหาก,1
ชื่นชมและ เอาเป็นแบบอย่างค่ะ,1
หนุ่มเหนือ มะเขือหวาน มีคนเอามาแจก แม่บอกทิ้งขยะไปแล้ว5555,0
"คนที่ดูหมิ่นพ่อหลวงว่า เศรษฐกิจพอเพียง เป็นวาทะกรรม มักมีอันเป็นไป
ไปดีนะทอน",1
อยากไปขับรถชมวิว รออีกแปป.. ใครชอบด่าลุงไม่ต้องขึ้นเนอะ ใครดราม่าค่าผ่านทางก็ไม่ต้องขึ้น เรื่องดีๆที่เค้าทำมีเยอะแยะไม่แหกตาดู ใจมืดบอด มั่วแต่ไปคล้อยตามพวกมีแต่น้ำลายชอบโจมตีประเทศตัวเอง ปลุกปั่นสร้างความแตกแยก,1
Wongsaphat Puangsorn goodmonday ใน spotify ค่ะ แกอัดครั้งสุดท้าย มีค ปีที่แล้ว ไม่รู้หายไปไหนไม่มาอัดต่อ,0
ขณะขยะเปียกที่ไร้ค่าแล้วรีไซเคิลก็ไม่ได้ #ขยะติดเชื้อที่น่ารังเกลียด เท่านั้นเอง,1
Jeejah Piyawat ไม่ได้ดิ้นธรรมดานะ ดิ้นตีนแตกเลย,0
อย่าท้อถอยนะครับ..ตั้งพรรคใหม่พวกผมจะตามไปเลือก,0
สรุปว่าควรเอาหมามาแทนเต่า ?,0
ณัฐพงศ์ จันทนะศิริ โง่จริงๆเลยนะนายเนี่ยย,1
Sonwi Rideau มันไม่น่าจะอ่านออกหรอกค่ะไอสมองขี้เปียกนี่ จะด่าก้สงสารควายกับเหี้ย #หนักจักรวาล,0
เอาที่ทำตามกฎหมายและโปร่งใสจะดีมากครับ,0
กรรมตามสนองเร็ว,1
ทำให้เห็นว่ามันเจริญก้าวหน้าสักอย่างสิ อย่าดีแต่พูด,1
ชื่นชมมากค่ะ,1
Sasinapha Noiphotjana ถ้าตัดสินเข้าข้างฝ่ายตนเองเชียร์ ก็ว่า ศาลยุติธรรม พอตัดสินไม่ถูกใจก็ว่ากลั่นแกล้ง ศาลตัดสินให้ถูกใจทั้งสองฝ่ายไม่ได้หรอกนะ,0
Hassarat Chatwongtiwa แล้วคำว่าแถลงปิดคดีหมายความว่ายังไงคับ ฮาว่ะ,0
จุฬาโดนสั่งแล้วครับ,0
https://www.facebook.com/groups/601769619955889/ กลุ่มอนาคตใหม่,0
ขอบคุณ​สำหรับ​ความหวัง และความ​พยายาม​ที่ผ่านมา แม้มันริบหรี่ แต่ก้อดีกว่าไม่มีเลย,0
"ฐานข้อมูล APPs

APPs สำคัญทั้งหมด จากนับ แสนๆApps

https://m.facebook.com/story.php?story_fbid=191165412169990&id=100038295984299",1
ขอบคุณแทนคุณพ่อท่านค่ะ,1
